stress,anxiety,burnout,loneliness,motivation,emotional_fatigue,sleep,focus,social,neutral,risk
5,2,9,2,5,5,9,8,1,2,Low
1,1,3,5,5,3,3,2,10,9,Low
9,1,8,5,5,10,4,10,10,3,Low
2,2,6,8,6,8,2,1,5,7,Moderate
6,1,9,7,4,3,8,6,6,1,Low
3,7,1,1,5,7,5,3,5,8,Low
5,2,1,10,5,8,6,9,3,5,Low
7,6,9,7,5,1,5,3,3,7,Moderate
1,10,7,2,4,2,9,9,5,9,Low
1,5,6,6,8,1,9,7,1,4,Low
5,8,8,7,10,10,8,3,9,7,Low
7,6,8,7,7,10,6,8,7,2,Moderate
2,2,5,4,9,6,3,2,10,10,Low
5,1,9,5,4,1,3,8,1,1,Low
1,1,10,1,9,7,4,8,4,8,Low
5,3,3,9,2,5,3,8,6,1,Moderate
5,10,1,8,3,6,1,9,4,7,Moderate
10,10,3,3,1,3,5,4,1,9,Moderate
3,3,7,10,1,6,5,1,7,1,Moderate
1,9,7,10,5,2,9,1,7,7,Low
4,10,8,5,7,8,6,9,2,4,Moderate
5,7,10,3,7,4,8,3,5,5,Low
6,6,10,5,10,4,9,7,10,2,Low
6,3,9,4,5,1,1,8,2,5,Low
6,10,3,9,5,9,10,2,5,10,Moderate
1,10,8,8,4,1,7,10,1,1,Moderate
3,1,5,2,9,10,9,9,2,4,Low
3,7,1,3,6,7,5,7,5,7,Low
7,8,9,3,1,2,10,10,3,7,Low
8,3,6,2,3,6,3,2,8,6,Low
6,2,3,10,5,8,10,10,5,1,Low
6,1,5,9,10,3,5,8,6,8,Low
3,2,3,4,7,3,10,2,3,5,Low
3,8,10,6,9,3,10,7,8,5,Low
10,3,4,1,9,7,5,4,6,5,Low
4,6,9,3,4,7,5,2,6,3,Moderate
10,1,4,1,6,1,9,10,6,8,Low
10,3,7,2,1,6,8,6,8,2,Low
4,10,7,3,5,2,10,5,1,3,Low
2,1,8,3,7,4,10,8,3,3,Low
2,2,8,3,5,4,5,6,8,5,Low
10,7,9,6,2,8,6,3,1,4,High
2,10,9,1,10,9,4,4,3,7,Low
9,9,9,4,3,5,7,1,2,3,High
10,8,2,8,3,7,4,10,9,1,Moderate
1,10,7,10,8,3,8,2,8,1,Low
8,7,8,1,8,5,1,3,8,3,Moderate
7,9,6,10,1,4,3,3,2,8,High
4,6,9,9,9,6,1,6,4,3,Moderate
9,10,9,3,5,7,10,8,6,1,Moderate
8,9,8,8,4,3,6,10,4,2,Moderate
2,4,2,9,1,5,5,2,9,9,Low
5,9,5,2,4,2,4,3,7,3,Low
5,2,1,5,8,7,6,1,9,7,Low
6,3,8,4,3,4,9,10,9,9,Low
4,9,10,7,8,5,9,8,6,3,Low
1,5,8,5,10,1,4,3,7,8,Low
2,4,10,5,2,9,5,6,9,5,Low
3,8,4,8,7,2,9,6,8,2,Low
9,8,2,2,3,5,10,6,10,6,Low
5,4,10,10,8,7,6,1,3,10,Moderate
8,10,3,5,10,2,3,4,9,7,Low
6,2,6,1,2,9,9,6,1,10,Low
6,2,3,3,4,10,7,9,5,2,Low
9,7,10,10,5,4,3,5,8,1,High
5,8,5,9,1,4,1,2,2,3,High
3,3,6,8,4,3,6,3,9,7,Low
1,9,5,8,8,6,8,3,5,2,Low
3,1,6,1,1,6,10,4,7,1,Low
8,1,6,6,10,5,7,6,8,9,Low
10,6,2,6,8,1,6,2,1,2,Moderate
5,5,9,7,4,6,4,5,7,7,Moderate
9,10,5,1,9,2,9,1,8,6,Low
2,9,3,5,10,10,6,8,2,9,Low
3,4,1,3,8,10,7,1,8,1,Low
5,7,7,3,7,2,2,5,1,1,Moderate
1,8,1,3,1,2,7,7,4,4,Low
8,9,9,8,5,2,4,8,2,8,Moderate
10,1,6,7,1,7,6,9,10,2,Low
5,3,9,5,9,6,1,2,8,1,Moderate
2,4,3,8,6,2,3,6,8,4,Low
4,5,6,6,5,3,5,8,6,9,Low
1,8,9,1,5,4,6,4,3,9,Low
7,4,7,2,9,6,10,3,6,4,Low
7,10,7,4,1,5,10,4,1,5,Moderate
3,8,7,7,3,4,2,9,1,9,Moderate
2,1,9,7,2,8,2,1,4,8,Moderate
4,7,9,1,2,5,9,7,4,10,Low
8,2,9,4,4,5,3,3,2,2,Moderate
3,7,6,1,1,10,1,5,2,8,Moderate
5,10,4,1,4,7,5,8,8,4,Low
10,9,1,1,7,3,1,2,3,6,Moderate
10,7,6,3,1,6,1,5,8,6,Moderate
7,3,6,5,7,9,2,4,10,1,Moderate
2,2,10,5,10,6,3,1,4,9,Low
9,7,10,3,3,3,10,4,3,5,Moderate
1,1,8,1,8,3,6,4,8,5,Low
5,2,5,1,10,2,3,1,9,7,Low
10,8,8,7,9,10,4,2,10,7,Moderate
10,3,5,1,7,10,2,4,10,5,Low
7,5,10,8,8,2,6,5,9,6,Low
9,4,6,4,1,10,9,6,5,8,Low
3,2,7,1,1,10,8,1,2,5,Moderate
10,10,10,7,8,3,9,8,10,1,Low
6,8,5,1,5,6,6,6,8,5,Low
8,8,9,8,2,10,8,5,1,10,High
2,4,7,10,1,4,2,8,1,3,Moderate
3,10,9,10,9,8,6,2,4,3,High
2,1,2,9,3,8,8,2,7,4,Low
4,7,3,9,7,6,10,4,4,4,Low
4,6,2,6,3,3,7,8,3,8,Low
9,5,1,2,1,8,5,3,10,9,Low
3,1,7,2,5,5,1,1,8,7,Low
10,6,1,7,5,6,6,4,4,5,Moderate
4,6,1,2,7,1,2,2,9,2,Low
6,8,1,10,1,10,1,6,2,5,High
2,5,9,8,10,1,3,8,2,6,Low
3,3,7,10,6,3,2,1,1,10,Moderate
5,6,2,3,5,10,6,9,8,4,Low
4,6,9,9,8,8,2,4,7,4,Moderate
8,4,2,1,6,8,10,3,1,2,Low
2,6,4,8,7,6,1,7,10,7,Low
4,5,10,10,7,4,4,2,2,10,Moderate
3,6,10,9,6,5,4,1,8,6,Moderate
4,6,4,4,9,3,1,7,5,1,Low
7,1,5,7,4,5,4,6,2,4,Moderate
10,1,3,5,10,2,2,4,10,7,Low
5,2,7,6,3,10,3,3,4,4,Moderate
9,9,6,4,9,7,8,8,10,8,Low
9,10,4,6,10,6,9,7,8,3,Low
1,10,4,3,1,9,2,1,5,1,High
5,9,8,8,8,2,4,5,7,2,Moderate
4,8,5,10,1,3,9,8,3,1,Moderate
6,3,5,2,5,1,9,1,4,1,Low
1,9,8,10,6,5,7,6,9,1,Low
10,1,1,4,7,7,6,7,8,9,Low
4,1,5,10,2,3,10,8,4,7,Low
4,7,4,1,9,4,2,10,6,2,Low
3,8,4,8,10,10,10,4,2,10,Low
6,8,7,2,4,4,6,5,5,9,Low
10,3,10,9,3,1,5,6,10,10,Low
7,4,1,9,8,3,6,6,7,4,Low
7,2,9,8,3,10,9,6,2,8,Moderate
1,1,9,3,10,3,8,5,2,6,Low
10,8,3,3,2,8,6,1,7,5,Moderate
2,5,9,5,4,5,1,5,5,3,Moderate
2,10,8,2,7,1,9,3,6,9,Low
10,1,10,10,5,3,10,10,4,6,Low
5,10,4,5,10,4,2,6,3,5,Low
2,4,9,8,9,10,6,5,1,9,Low
1,10,4,9,3,1,2,9,3,8,Low
6,3,8,9,5,1,5,4,7,8,Low
8,7,1,9,2,8,3,10,5,10,Low
4,1,6,6,8,10,6,5,3,9,Low
5,4,5,3,7,2,6,2,6,8,Low
8,9,8,9,9,5,6,6,9,10,Low
3,2,1,3,6,10,2,8,1,7,Low
9,3,2,6,5,7,3,4,10,10,Low
6,3,6,1,3,3,4,7,5,10,Low
3,9,5,6,9,9,5,2,10,4,Low
1,9,4,8,3,3,7,7,9,6,Low
9,6,4,1,2,8,9,9,5,10,Low
10,5,4,6,5,9,3,6,6,9,Moderate
8,10,1,9,1,4,7,10,4,10,Low
2,9,9,3,2,3,6,4,3,5,Moderate
6,7,4,6,5,1,5,7,9,6,Low
3,1,2,9,8,2,1,7,8,6,Low
10,10,7,4,8,9,6,3,6,5,Moderate
7,2,10,10,6,6,9,2,1,1,High
5,7,2,9,6,8,5,8,1,1,Moderate
5,4,6,4,4,8,1,9,5,5,Low
3,8,10,8,5,4,5,7,2,8,Moderate
3,10,9,8,5,7,6,9,7,2,Moderate
7,1,7,3,9,10,10,4,1,3,Low
5,3,2,7,2,5,3,9,8,3,Low
5,7,9,4,3,1,9,7,1,10,Low
5,8,2,1,1,4,3,1,10,1,Low
4,7,2,7,1,10,10,6,4,8,Low
2,8,3,7,9,3,1,8,3,10,Low
7,3,1,8,6,1,5,10,2,1,Low
5,8,10,7,10,10,7,10,9,8,Low
4,4,2,2,3,3,2,5,5,1,Low
4,8,10,2,4,1,5,2,9,7,Low
1,9,8,1,2,4,5,10,1,4,Low
1,1,3,4,10,3,10,10,3,8,Low
2,1,3,2,6,2,9,1,5,4,Low
6,4,10,7,3,8,9,10,5,7,Low
8,9,9,7,3,4,10,5,6,5,Moderate
10,9,1,9,5,2,5,6,9,7,Low
8,1,6,7,3,7,5,2,6,4,Moderate
10,2,8,7,4,3,8,4,8,4,Low
2,1,9,2,2,5,1,1,7,4,Low
9,4,10,2,10,3,10,9,6,8,Low
7,3,6,8,1,5,8,8,5,6,Low
8,7,7,2,6,2,4,4,7,9,Low
2,1,6,8,5,6,4,10,2,6,Low
7,2,2,6,8,7,4,2,7,7,Low
6,8,4,7,8,8,5,4,7,5,Low
9,6,6,10,8,5,8,7,6,2,Moderate
1,4,10,4,9,10,4,2,2,6,Moderate
4,8,4,8,8,3,10,5,8,8,Low
1,1,4,8,9,3,9,5,10,10,Low
2,7,6,3,9,2,3,5,9,2,Low
9,3,2,4,6,8,7,9,7,4,Low
4,6,3,9,6,5,10,9,6,6,Low
3,2,9,9,1,7,8,5,2,4,Moderate
10,10,4,4,7,9,7,1,1,8,Moderate
1,9,3,5,7,2,5,7,8,4,Low
3,3,8,9,6,2,1,3,7,7,Low
8,7,10,6,10,5,8,7,4,4,Low
8,8,10,5,10,8,10,10,9,6,Low
10,7,4,6,5,1,8,4,8,2,Low
7,7,2,7,6,1,6,10,1,9,Low
4,7,8,6,3,5,8,3,5,10,Low
6,7,8,5,1,4,2,4,2,4,High
5,4,3,2,6,2,7,8,1,1,Low
3,10,8,7,9,5,6,6,8,3,Low
7,6,5,3,3,9,10,7,2,9,Low
7,1,1,10,7,7,10,4,3,3,Low
6,1,5,7,7,4,2,4,1,5,Low
4,9,6,7,7,4,4,5,1,5,Moderate
9,9,3,3,8,8,6,2,10,9,Low
9,7,8,2,9,10,2,6,3,9,Moderate
2,9,8,5,2,8,9,1,7,2,Moderate
6,8,5,3,4,8,1,5,7,9,Low
7,4,9,5,6,7,5,5,8,6,Low
7,5,2,2,9,1,1,1,6,6,Low
6,2,9,5,1,10,7,3,4,6,Moderate
9,3,9,4,2,4,9,9,1,5,Low
7,5,1,3,6,1,6,5,7,6,Low
7,4,10,7,7,7,10,9,5,3,Low
7,9,4,2,1,8,4,8,6,1,Moderate
7,9,6,1,3,10,4,7,3,9,Moderate
9,10,2,6,2,5,10,10,5,4,Low
7,4,6,4,8,10,6,8,8,3,Low
8,6,6,10,2,1,1,6,2,6,Moderate
1,1,5,6,7,10,6,7,1,1,Low
3,8,9,2,8,4,5,9,1,2,Low
3,1,9,4,9,10,3,9,8,6,Low
5,8,1,7,2,7,3,6,8,10,Low
9,7,2,2,6,2,5,8,4,3,Low
10,4,2,8,9,3,6,6,1,6,Low
8,4,5,6,10,1,6,5,8,9,Low
9,8,2,2,5,4,7,10,5,3,Low
9,1,2,8,9,10,7,2,3,10,Low
10,3,2,8,1,2,4,2,3,10,Moderate
5,6,2,6,10,5,3,3,10,1,Low
1,3,6,8,7,3,8,1,10,7,Low
7,5,8,10,1,7,6,10,6,3,Moderate
8,1,1,8,8,3,9,2,8,3,Low
4,9,6,7,5,10,8,4,5,5,Moderate
8,9,9,3,7,8,3,9,2,5,Moderate
8,9,9,5,1,8,8,7,4,6,Moderate
1,8,8,8,10,7,5,2,3,6,Moderate
10,3,9,7,2,6,4,4,10,2,Moderate
4,3,7,10,1,8,5,6,4,8,Moderate
9,4,5,3,4,2,10,7,4,6,Low
9,10,1,1,2,8,2,9,10,7,Low
4,3,9,1,6,10,4,10,10,4,Low
6,5,2,4,9,9,7,10,10,8,Low
4,4,10,2,8,3,3,10,5,3,Low
7,5,7,8,9,8,3,4,9,7,Low
4,8,4,1,10,6,9,2,5,7,Low
9,2,10,4,5,6,4,7,5,1,Moderate
6,6,8,2,2,4,1,10,1,6,Moderate
5,8,2,3,7,3,3,9,10,8,Low
8,6,2,1,6,7,7,2,10,4,Low
9,9,10,10,8,10,6,7,6,1,High
4,10,3,3,7,4,6,3,5,10,Low
8,10,9,2,1,8,6,10,8,3,Moderate
9,7,5,4,1,3,2,3,3,5,Moderate
9,6,6,1,10,10,10,2,9,5,Low
9,5,10,9,1,2,1,3,1,8,High
4,5,4,6,9,8,10,5,10,5,Low
9,1,10,1,5,5,1,1,4,6,Moderate
4,9,3,10,5,4,7,5,8,4,Low
3,2,1,5,5,7,7,10,5,6,Low
2,4,4,3,6,5,8,5,8,10,Low
7,7,2,4,8,3,2,9,9,10,Low
4,8,4,2,2,4,3,1,2,7,Moderate
2,10,4,9,10,9,2,10,2,9,Low
10,2,9,9,3,5,9,8,7,1,Moderate
10,3,8,7,8,2,6,8,9,7,Low
5,10,9,1,1,10,9,6,2,8,Moderate
7,8,5,7,6,1,6,6,8,10,Low
9,6,9,4,3,1,10,10,2,8,Low
6,7,4,10,10,7,10,2,6,1,Moderate
9,1,8,10,1,7,3,2,9,10,Moderate
5,3,7,2,8,10,5,10,4,4,Low
9,10,9,3,9,8,8,7,5,9,Low
8,6,3,1,7,2,8,1,4,2,Low
8,1,6,6,8,6,7,8,6,1,Low
2,9,8,6,9,4,4,4,5,6,Low
6,3,4,7,2,9,8,2,1,2,Moderate
8,2,7,7,5,1,8,3,2,9,Low
6,7,4,3,4,2,4,6,8,10,Low
9,4,4,6,4,1,7,2,2,3,Moderate
9,4,6,6,7,9,9,10,1,10,Low
10,10,3,7,7,2,8,7,7,8,Low
3,6,2,5,6,6,5,6,6,4,Low
2,8,6,1,6,7,10,4,4,7,Low
5,4,6,7,8,9,6,2,5,7,Low
1,8,5,10,10,1,9,4,3,7,Low
7,3,3,9,1,3,10,3,3,3,Moderate
8,6,10,8,8,3,2,5,9,4,Moderate
8,5,4,2,8,1,7,8,3,9,Low
5,8,4,7,6,5,10,7,9,1,Low
7,6,4,5,7,5,1,9,3,2,Moderate
1,10,8,4,2,5,2,8,9,5,Low
7,4,2,8,6,9,9,1,2,5,Moderate
6,9,10,10,5,10,1,1,9,3,High
5,1,4,2,7,3,2,6,1,9,Low
7,7,5,10,9,8,10,6,10,2,Low
8,10,6,4,8,4,7,4,1,2,Moderate
9,3,6,8,4,2,1,1,2,1,High
7,10,1,5,10,10,5,10,5,3,Low
5,3,6,2,6,8,7,3,7,6,Low
5,7,10,4,10,9,7,2,5,7,Low
5,6,6,3,7,3,1,9,1,5,Low
5,2,4,8,1,2,1,10,5,5,Low
7,6,3,9,3,10,1,8,2,6,High
8,10,1,2,5,2,10,6,8,8,Low
1,2,10,1,7,4,5,2,1,3,Low
9,6,1,9,4,3,9,3,7,5,Low
4,7,2,1,8,8,3,9,4,6,Low
2,7,4,10,4,2,2,2,10,6,Low
9,8,1,10,6,8,8,9,8,1,Low
4,7,2,9,5,4,3,7,9,9,Low
7,2,7,10,4,8,1,6,8,10,Moderate
10,7,8,9,9,5,6,8,4,4,Moderate
7,9,4,1,8,4,9,2,10,6,Low
8,7,1,6,1,1,7,10,10,8,Low
9,8,5,2,2,7,3,6,4,7,Moderate
6,5,2,6,5,5,4,3,3,2,Moderate
8,2,5,6,9,2,6,8,7,1,Low
3,6,10,1,8,9,8,5,3,3,Low
6,7,9,5,1,6,8,6,1,9,Moderate
10,7,5,2,1,7,1,6,7,9,Moderate
6,2,10,8,5,7,3,9,8,7,Low
2,10,3,5,5,2,7,2,7,10,Low
9,1,8,8,6,7,1,6,8,8,Low
8,8,5,6,6,3,8,6,9,9,Low
5,2,3,4,5,5,4,2,9,5,Low
4,1,1,9,6,4,5,1,8,5,Low
9,9,2,7,7,2,8,4,1,9,Low
2,6,9,7,3,3,5,1,8,4,Moderate
4,9,7,10,2,7,6,5,4,8,Moderate
6,1,2,9,7,10,1,6,3,1,Moderate
2,10,8,3,2,7,6,9,6,7,Low
7,5,8,8,2,7,9,9,1,10,Low
6,1,4,2,1,2,6,4,4,9,Low
4,3,2,4,3,10,1,10,7,4,Low
4,8,1,5,7,2,8,4,4,5,Low
6,10,2,3,5,9,8,10,9,1,Low
5,9,3,5,9,1,10,4,9,4,Low
1,2,10,1,7,4,9,8,1,8,Low
8,7,5,7,2,9,7,5,5,7,Moderate
1,3,5,4,2,3,9,5,2,5,Low
3,2,6,4,4,8,7,7,10,10,Low
10,3,4,1,6,4,1,8,6,1,Low
10,10,1,5,2,10,6,9,6,1,Moderate
9,9,8,2,10,5,10,10,4,5,Low
7,8,4,1,7,6,8,3,8,2,Low
5,1,3,3,6,8,8,4,7,8,Low
2,10,5,7,3,7,9,10,8,4,Low
10,2,9,3,5,5,9,8,5,8,Low
7,5,7,2,10,10,8,10,1,7,Low
6,9,2,8,1,10,6,2,3,5,High
8,4,10,5,1,9,6,4,4,8,Moderate
5,2,8,8,9,4,4,9,10,4,Low
7,4,6,4,8,8,4,6,8,6,Low
2,1,9,1,1,3,1,1,4,5,Low
8,4,7,7,8,10,9,4,4,7,Low
10,8,5,9,7,1,8,7,6,7,Low
7,5,5,5,6,2,8,6,4,2,Low
7,2,3,7,4,5,4,3,5,1,Moderate
4,2,8,5,8,9,2,10,8,4,Low
10,10,9,4,8,3,10,2,3,5,Moderate
8,1,4,5,9,10,8,4,8,8,Low
8,8,3,6,1,10,10,10,2,5,Moderate
3,7,6,9,9,1,3,9,7,5,Low
7,6,4,1,1,5,7,3,5,6,Low
1,6,1,7,4,7,8,3,2,1,Low
10,1,10,3,5,1,2,8,4,4,Low
10,1,7,7,10,7,3,6,1,9,Low
7,2,2,4,7,10,2,7,9,5,Low
8,3,3,1,1,8,9,2,2,8,Low
4,4,7,9,1,6,9,4,1,9,Moderate
3,5,3,9,6,10,3,8,7,10,Low
2,6,8,5,10,7,1,7,3,7,Low
2,7,7,1,5,8,10,8,7,4,Low
5,10,2,3,6,6,3,2,10,7,Low
3,1,5,5,7,3,2,8,4,1,Low
7,10,7,7,5,10,1,7,5,3,High
7,8,6,3,9,8,6,8,6,7,Low
2,1,5,1,8,7,2,10,3,1,Low
2,8,3,4,10,1,1,10,5,9,Low
2,9,9,6,6,2,9,3,5,7,Low
3,1,1,10,8,7,6,10,7,3,Low
7,1,8,5,7,5,9,10,7,2,Low
1,7,3,3,10,3,5,7,5,5,Low
1,10,9,2,5,4,1,2,1,7,Moderate
9,4,7,1,4,6,9,6,6,10,Low
10,3,9,7,1,7,3,8,7,6,Moderate
3,10,1,4,6,3,8,2,6,7,Low
9,9,6,5,10,8,5,6,9,8,Low
7,5,10,4,4,2,1,4,6,6,Moderate
3,8,7,4,1,4,7,4,7,1,Moderate
5,10,5,4,4,9,1,9,4,6,Moderate
2,4,1,5,6,4,2,7,5,7,Low
3,1,7,2,1,2,3,4,5,4,Low
7,6,1,6,6,3,8,1,9,10,Low
3,9,8,6,7,9,1,4,7,4,Moderate
4,10,3,3,5,7,1,9,4,10,Low
3,5,1,3,6,8,6,10,1,9,Low
4,5,4,3,2,6,3,4,1,6,Moderate
2,9,1,7,5,8,9,8,3,10,Low
6,2,7,8,4,8,3,6,4,3,Moderate
7,10,2,8,2,10,5,6,5,8,Moderate
6,9,8,10,10,1,8,3,3,8,Low
2,5,2,2,2,5,3,3,3,7,Low
10,5,6,10,4,3,3,7,3,7,Moderate
3,8,3,3,10,6,5,3,4,1,Low
5,4,10,9,9,7,9,7,6,5,Low
2,3,5,5,8,8,4,2,9,10,Low
4,1,4,8,1,7,9,2,4,7,Low
9,3,3,9,7,9,9,9,7,1,Low
1,1,7,3,3,8,5,3,8,3,Low
10,6,9,5,10,7,1,2,9,2,Moderate
1,5,5,10,8,9,1,5,4,10,Low
7,10,10,10,4,8,7,4,6,5,High
5,5,7,3,5,10,2,3,2,10,Moderate
8,4,2,2,3,8,7,2,6,1,Moderate
10,4,6,8,8,2,5,1,8,8,Low
4,3,1,7,3,2,8,5,2,10,Low
9,2,2,3,1,10,1,9,10,8,Low
7,5,8,3,6,2,9,7,10,5,Low
6,3,1,9,4,2,2,9,8,6,Low
9,6,4,2,7,7,8,3,8,3,Low
4,8,5,9,4,5,9,4,1,9,Low
1,6,3,10,2,3,8,4,10,5,Low
9,2,10,6,7,1,8,3,2,2,Moderate
2,8,5,6,5,9,3,5,2,2,Moderate
4,7,2,1,4,10,8,10,6,8,Low
6,3,6,4,10,7,4,4,6,4,Low
4,10,6,4,9,6,4,7,5,1,Low
7,10,2,10,3,7,1,7,10,4,Moderate
6,7,10,4,6,8,4,9,8,7,Low
3,5,7,10,1,2,10,7,1,5,Low
10,8,6,9,4,2,4,10,1,6,Moderate
9,3,7,8,8,7,7,9,10,3,Low
5,10,7,6,3,3,1,9,3,3,Moderate
9,3,1,9,10,10,3,4,10,8,Low
4,9,10,3,9,3,5,2,9,6,Low
10,9,8,1,9,8,9,1,2,9,Moderate
10,10,3,6,10,9,4,10,7,7,Low
5,10,6,10,3,10,8,9,4,4,Moderate
4,9,1,1,1,7,2,5,1,2,Moderate
9,3,1,6,10,8,4,2,8,2,Low
8,10,7,4,6,2,9,6,10,10,Low
9,3,4,9,1,6,3,4,9,6,Moderate
2,7,10,2,6,4,7,2,6,4,Low
1,1,6,6,2,7,8,2,5,10,Low
5,3,1,8,10,1,2,6,10,10,Low
1,8,4,6,1,5,3,10,6,5,Low
5,10,2,8,2,8,1,4,3,8,High
3,6,8,4,8,10,4,10,9,10,Low
4,2,7,5,9,9,10,8,1,4,Low
4,4,5,8,7,5,4,5,1,4,Moderate
9,6,6,5,9,4,10,4,5,10,Low
9,3,7,9,2,5,4,4,2,10,Moderate
3,9,5,10,4,10,4,9,3,5,Moderate
5,9,10,9,1,1,2,10,10,2,Moderate
8,5,8,2,3,2,7,8,8,5,Low
9,3,1,8,5,1,1,7,2,8,Low
5,2,8,6,2,2,2,1,8,2,Moderate
5,7,4,5,7,4,6,1,9,4,Low
9,2,10,9,3,2,3,6,1,4,High
6,4,5,6,8,2,4,5,6,4,Low
10,5,7,1,2,9,7,8,7,9,Low
1,7,10,1,8,5,2,5,8,7,Low
9,4,4,7,1,7,7,8,7,2,Moderate
3,5,3,10,4,4,5,9,5,5,Low
10,3,4,8,5,3,4,5,3,1,Moderate
3,2,7,2,7,5,1,10,10,1,Low
9,2,6,2,3,6,2,10,9,3,Low
7,8,5,7,5,7,10,3,5,4,Moderate
3,3,9,5,5,5,4,8,8,3,Low
6,10,9,3,2,3,3,2,2,3,High
1,4,9,2,8,5,2,6,10,9,Low
2,9,5,9,10,6,1,6,5,5,Low
9,9,7,7,3,1,1,8,2,7,Moderate
5,5,4,8,3,6,3,9,8,10,Low
5,7,4,10,8,4,9,1,8,5,Low
9,6,3,3,1,5,3,1,8,5,Moderate
1,4,6,7,7,7,7,9,9,9,Low
1,9,10,1,5,5,1,1,6,9,Low
3,3,3,8,9,6,10,9,6,2,Low
10,9,2,2,5,1,9,1,6,3,Low
10,8,1,3,2,7,8,7,9,3,Low
3,3,7,4,7,10,3,5,3,9,Low
8,4,3,3,1,5,3,4,10,7,Low
2,9,10,2,6,8,8,2,3,4,Moderate
10,2,5,9,2,7,4,3,9,8,Moderate
10,1,10,9,2,8,9,9,4,6,Moderate
8,4,7,10,5,10,6,10,1,1,High
10,2,3,2,1,7,2,10,4,3,Low
10,8,4,10,3,8,1,2,5,9,High
1,3,2,2,1,6,2,10,4,6,Low
10,8,3,8,6,2,7,3,5,4,Moderate
5,10,3,10,8,2,1,3,5,1,Moderate
2,6,5,4,7,3,9,6,10,4,Low
6,1,5,3,5,9,2,7,7,2,Low
2,8,2,3,2,5,9,6,8,6,Low
6,10,5,3,4,10,5,8,9,6,Low
6,4,10,6,4,3,9,5,10,5,Low
6,4,8,1,9,1,1,8,2,6,Low
1,7,1,2,8,3,1,3,2,8,Low
1,5,5,3,2,1,2,10,6,1,Low
1,4,3,1,1,3,1,4,1,3,Low
6,3,5,8,9,8,3,9,9,1,Low
9,7,10,1,1,3,9,7,5,8,Low
4,6,7,5,5,6,10,2,6,4,Low
6,2,5,8,7,7,8,9,8,8,Low
7,7,3,3,9,3,5,7,4,6,Low
2,7,3,5,7,8,4,2,3,8,Low
9,5,10,6,7,1,4,9,6,1,Low
2,2,3,9,9,6,3,10,6,2,Low
7,2,5,4,9,10,2,4,10,7,Low
5,8,10,3,1,4,2,7,3,10,Moderate
2,6,4,3,4,7,10,4,8,2,Low
4,6,10,3,6,10,7,10,5,3,Low
1,6,6,5,3,5,4,6,6,6,Low
1,3,10,1,9,5,5,2,5,9,Low
9,9,4,8,10,2,2,9,4,3,Low
7,6,1,9,4,4,4,10,10,1,Low
5,7,3,9,1,3,1,7,3,6,Moderate
4,7,3,8,5,6,5,3,9,3,Low
